"Carnet no válido.","Carte non valide."
"Choose ""All days"" to apply this slot to every day of the week.","Choisissez ""Tous les jours"" pour appliquer ce créneau à tous les jours de la semaine."
"Completo","Complet"
"Confirm Attendance","Confirmer la présence"
"Confirmar asistencia · Carnet","Confirmer la présence · Carte"
"Confirmar reserva","Confirmer la réservation"
"Could not delete the event type: %1","Impossible de supprimer le type d'événement : %1"
"Could not delete the location: %1","Impossible de supprimer le lieu : %1"
"Could not delete the meet: %1","Impossible de supprimer la rencontre : %1"
"Could not delete the registration: %1","Impossible de supprimer l'inscription : %1"
"Could not delete the theme: %1","Impossible de supprimer le thème : %1"
"Could not save the event type: %1","Impossible d'enregistrer le type d'événement : %1"
"Could not save the location: %1","Impossible d'enregistrer le lieu : %1"
"Could not save the meet: %1","Impossible d'enregistrer la rencontre : %1"
"Could not save the registration: %1","Impossible d'enregistrer l'inscription : %1"
"Could not save the theme: %1","Impossible d'enregistrer le thème : %1"
"Country","Pays"
"Created","Créé"
"Created At","Créé le"
"Cualquier fecha","N'importe quelle date"
"Customer","Client"
"Customer #%1","Client #%1"
"Customer #%1 (deleted)","Client #%1 (supprimé)"
"Customer #%1 (not found)","Client #%1 (introuvable)"
"Customer ID","ID client"
"Customer Name","Nom du client"
"Código de tienda","Code de la boutique"
"Código de tienda no válido.","Code de boutique non valide."
"Date","Date"
"Day","Jour"
"Day of Week","Jour de la semaine"
"Delete","Supprimer"
"Delete Registration","Supprimer l'inscription"
"Día","Jour"
"Edit","Modifier"
"Edit Location","Modifier le lieu"
"Edit Meet","Modifier la rencontre"
"Edit Participant","Modifier le participant"
"Edit Theme","Modifier le thème"
"Edit Time Slot","Modifier le créneau"
"El número de asistentes debe estar entre 1 y %1.","Le nombre de participants doit être entre 1 et %1."
"Elige turno para","Choisis un créneau pour"
"Elige un turno arriba para continuar.","Choisis un créneau ci-dessus pour continuer."
"Elige una tienda y reserva 1 o 2 mesas para venir a jugar dentro del horario comercial.","Choisis une boutique et réserve 1 ou 2 tables pour venir jouer pendant les heures d'ouverture."
"Email","Email"
"Encuentra partidas, torneos, ligas y presentaciones en %1.","Trouve des parties, tournois, ligues et présentations à %1."
"Encuentra partidas, torneos, ligas y presentaciones en nuestras tiendas físicas.","Trouve des parties, tournois, ligues et présentations dans nos boutiques physiques."
"End","Fin"
"End Date","Date de fin"
"End Date (for recurring events)","Date de fin (pour les événements récurrents)"
"End Time","Heure de fin"
"Enter phone number (9-15 digits). Formatting like +, (, ) is allowed.","Saisis un numéro de téléphone (9-15 chiffres). Les symboles +, (, ) sont autorisés."
"Error de red.","Erreur réseau."
"Error exporting participants: %1","Erreur lors de l'export des participants : %1"
"Error saving time slot: %1","Erreur lors de l'enregistrement du créneau : %1"
"Esta fecha sólo está disponible para socios del Club Zacatrus.","Cette date n'est disponible que pour les membres du Club Zacatrus."
"Esta reserva es para el día %1.","Cette réservation est pour le %1."
"Esta reserva no está confirmada.","Cette réservation n'est pas confirmée."
"Esta reserva ya estaba cancelada.","Cette réservation était déjà annulée."
"Event not found.","Événement introuvable."
"Event type with code ""%1"" does not exist.","Le type d'événement avec le code ""%1"" n'existe pas."
"Event type with id ""%1"" does not exist.","Le type d'événement avec l'id ""%1"" n'existe pas."
"Eventos de juegos de mesa en %1","Événements de jeux de société à %1"
"Eventos de juegos de mesa en Zacatrus","Événements de jeux de société chez Zacatrus"
"Export to CSV","Exporter en CSV"
"Failed to confirm attendance. It may have already been recorded for today.","Échec de la confirmation de présence. Elle a peut-être déjà été enregistrée aujourd'hui."
"Failed to remove attendance. No attendance records found.","Échec de la suppression de présence. Aucun enregistrement trouvé."
"Falta el código de la reserva.","Le code de la réservation est manquant."
"Format HH:MM (e.g. 17:00)","Format HH:MM (ex. 17:00)"
"Format HH:MM (e.g. 19:00)","Format HH:MM (ex. 19:00)"
"Friday","Vendredi"
"Hasta 6 personas por mesa.","Jusqu'à 6 personnes par table."
"Hay varios eventos del cliente hoy en esta tienda. Elige cuál confirmar:","Il y a plusieurs événements de ce client aujourd'hui dans cette boutique. Choisis lequel confirmer :"
"Hazte del Club","Rejoins le Club"
"How many ludoteca tables this store has. Set to 0 to disable ludoteca bookings at this store.","Nombre de tables de ludothèque dans cette boutique. Mets 0 pour désactiver les réservations de ludothèque."
"Hoy a las %1","Aujourd'hui à %1"
"ID","ID"
"Indica un teléfono de contacto.","Indique un numéro de téléphone de contact."
"Iniciar sesión","Se connecter"
"Iniciar sesión o registrarte","Se connecter ou s'inscrire"
"Introduce el código de tu tienda para confirmar la asistencia.","Saisis le code de ta boutique pour confirmer la présence."
"Libre","Libre"
"Limpiar filtros","Effacer les filtres"
"Lista de espera","Liste d'attente"
"Location with id ""%1"" does not exist.","Le lieu avec l'id ""%1"" n'existe pas."
"Locations","Lieux"
"Lower numbers appear first","Les nombres plus petits apparaissent en premier"
"Ludoteca %1","Ludothèque %1"
"Ludoteca Bookings","Réservations de ludothèque"
"Ludoteca Time Slots","Créneaux de ludothèque"
"Manage Locations","Gérer les lieux"
"Manage Meets","Gérer les rencontres"
"Manage Participants","Gérer les participants"
"Manage Themes","Gérer les thèmes"
"Meet","Rencontre"
"Meet ID","ID de la rencontre"
"Meet Name","Nom de la rencontre"
"Meet not found for this registration.","Aucune rencontre trouvée pour cette inscription."
"Meet not found.","Rencontre introuvable."
"Meet with id ""%1"" does not exist.","La rencontre avec l'id ""%1"" n'existe pas."
"Mes anterior","Mois précédent"
"Mes siguiente","Mois suivant"
"Mesas que quieres reservar","Tables que tu veux réserver"
"Monday","Lundi"
"New Location","Nouveau lieu"
"New Meet","Nouvelle rencontre"
"New Theme","Nouveau thème"
"New Time Slot","Nouveau créneau"
"No disponible todavía","Pas encore disponible"
"No encontramos esa reserva. Puede que ya esté cancelada.","Nous ne trouvons pas cette réservation. Elle a peut-être déjà été annulée."
"No hay eventos con esos filtros","Aucun événement avec ces filtres"
"No hay ningún evento de este cliente hoy en esta tienda.","Aucun événement de ce client aujourd'hui dans cette boutique."
"No hay turnos disponibles este día.","Aucun créneau disponible ce jour."
"No puedes repetir el mismo turno en una reserva.","Tu ne peux pas répéter le même créneau dans une réservation."
"No puedes reservar en una fecha pasada.","Tu ne peux pas réserver à une date passée."
"No se encuentra ningún cliente con ese carnet.","Aucun client trouvé avec cette carte."
"No se ha podido bloquear ese día para reservar. Inténtalo de nuevo.","Impossible de bloquer ce jour pour la réservation. Réessaie."
"No se ha podido validar este QR.","Impossible de valider ce QR."
"No se pudo borrar el turno: %1","Impossible de supprimer le créneau : %1"
"No se pudo borrar la reserva: %1","Impossible de supprimer la réservation : %1"
"No se pudo cancelar la reserva. Inténtalo de nuevo.","Impossible d'annuler la réservation. Réessaie."
"No se pudo cargar la disponibilidad.","Impossible de charger la disponibilité."
"No se pudo confirmar la reserva.","Impossible de confirmer la réservation."
"No se pudo guardar el turno: %1","Impossible d'enregistrer le créneau : %1"
"No se pudo guardar la reserva: %1","Impossible d'enregistrer la réservation : %1"
"No slots recorded for this booking.","Aucun créneau enregistré pour cette réservation."
"Nothing","Rien"
"Optional. Select a theme for this meet.","Optionnel. Sélectionne un thème pour cette rencontre."
"Optional. Set an end date for recurring events to limit when they stop appearing.","Optionnel. Définis une date de fin pour les événements récurrents afin de limiter quand ils cessent d'apparaître."
"Para confirmar una reserva necesitas tener cuenta y haber iniciado sesión.","Pour confirmer une réservation, tu dois avoir un compte et être connecté."
"Para confirmar una reserva tienes que iniciar sesión.","Pour confirmer une réservation, tu dois être connecté."
"Participant #%1","Participant #%1"
"Participant Information","Informations sur le participant"
"Participants","Participants"
"Phone","Téléphone"
"Phone number is required.","Le numéro de téléphone est obligatoire."
"Please select a participant.","Sélectionne un participant."
"Please select bookings.","Sélectionne des réservations."
"Please select location(s).","Sélectionne un ou plusieurs lieux."
"Please select meet(s).","Sélectionne une ou plusieurs rencontres."
"Please select participant(s).","Sélectionne un ou plusieurs participants."
"Please select theme(s).","Sélectionne un ou plusieurs thèmes."
"Please select time slots.","Sélectionne des créneaux."
"Pocas plazas","Peu de places"
"Prueba a cambiar la ubicación, ampliar la fecha o seleccionar otra temática.","Essaie de changer le lieu, d'élargir la date ou de sélectionner un autre thème."
"Próximos 30 días","30 prochains jours"
"Próximos 7 días","7 prochains jours"
"Quedan %1 plazas","Il reste %1 places"
"Registration Date","Date d'inscription"
"Registration for this event has closed.","Les inscriptions pour cet événement sont closes."
"Registration has no associated meet.","L'inscription n'a pas de rencontre associée."
"Registration or meet not found.","Inscription ou rencontre introuvable."
"Registration with id ""%1"" does not exist.","L'inscription avec l'id ""%1"" n'existe pas."
"Remove Attendance","Supprimer la présence"
"Reserva 1 o 2 mesas para venir a jugar a esta tienda. Cada mesa admite hasta %1 personas.","Réserve 1 ou 2 tables pour venir jouer dans cette boutique. Chaque table accueille jusqu'à %1 personnes."
"Reserva con código ""%1"" no existe.","La réservation avec le code ""%1"" n'existe pas."
"Reserva con id ""%1"" no existe.","La réservation avec l'id ""%1"" n'existe pas."
"Reserva confirmada.","Réservation confirmée."
"Reserva mesa de ludoteca","Réserve une table de ludothèque"
"Reserva no encontrada.","Réservation introuvable."
"Reserva válida. ¡Bienvenidos a Zacatrus!","Réservation valide. Bienvenue chez Zacatrus !"
"Reserva ya registrada hoy. ¡Bienvenidos!","Réservation déjà enregistrée aujourd'hui. Bienvenue !"
"Reservado por ti","Réservé par toi"
"Reservar plaza","Réserver une place"
"Saturday","Samedi"
"Save","Enregistrer"
"Save and Continue Edit","Enregistrer et continuer la modification"
"Selecciona al menos un turno.","Sélectionne au moins un créneau."
"Sin disponibilidad","Indisponible"
"Slots","Créneaux"
"Something went wrong while saving the location.","Une erreur est survenue lors de l'enregistrement du lieu."
"Something went wrong while saving the meet.","Une erreur est survenue lors de l'enregistrement de la rencontre."
"Something went wrong while saving the participant.","Une erreur est survenue lors de l'enregistrement du participant."
"Something went wrong while saving the theme.","Une erreur est survenue lors de l'enregistrement du thème."
"Sort","Tri"
"Start","Début"
"Start Time","Heure de début"
"Status","Statut"
"Store","Boutique"
"Sunday","Dimanche"
"Sólo los socios del Club pueden reservar más de un turno a la vez.","Seuls les membres du Club peuvent réserver plus d'un créneau à la fois."
"Sólo para el Club","Réservé au Club"
"Tables","Tables"
"Teléfono de contacto","Téléphone de contact"
"The location has been deleted.","Le lieu a été supprimé."
"The location has been saved.","Le lieu a été enregistré."
"The meet has been deleted.","La rencontre a été supprimée."
"The meet has been saved.","La rencontre a été enregistrée."
"The participant has been deleted.","Le participant a été supprimé."
"The participant has been saved.","Le participant a été enregistré."
"The theme has been deleted.","Le thème a été supprimé."
"The theme has been saved.","Le thème a été enregistré."
"Theme","Thème"
"Theme Information","Informations sur le thème"
"Theme with id ""%1"" does not exist.","Le thème avec l'id ""%1"" n'existe pas."
"Themes","Thèmes"
"This booking is already cancelled.","Cette réservation est déjà annulée."
"This event is not available.","Cet événement n'est pas disponible."
"This is a reminder that you have an event coming up in %1 day(s).","Ceci est un rappel : tu as un événement dans %1 jour(s)."
"This location no longer exists.","Ce lieu n'existe plus."
"This meet no longer exists.","Cette rencontre n'existe plus."
"This participant no longer exists.","Ce participant n'existe plus."
"This theme no longer exists.","Ce thème n'existe plus."
"Thursday","Jeudi"
"Tienda","Boutique"
"Tienda validada.","Boutique validée."
"Tienes que iniciar sesión para reservar.","Tu dois être connecté pour réserver."
"Time Slot Information","Informations sur le créneau"
"Time slot deleted.","Créneau supprimé."
"Time slot not found.","Créneau introuvable."
"Time slot saved.","Créneau enregistré."
"Todas las tiendas","Toutes les boutiques"
"Todos los juegos y temáticas","Tous les jeux et thèmes"
"Total Ludoteca Tables","Total des tables de ludothèque"
"Tu reserva ha sido cancelada.","Ta réservation a été annulée."
"Tu reserva se ha creado correctamente. Te hemos enviado un email con el QR.","Ta réservation a été créée correctement. Nous t'avons envoyé un email avec le QR."
"Tuesday","Mardi"
"Turno con id ""%1"" no existe.","Le créneau avec l'id ""%1"" n'existe pas."
"Turnos","Créneaux"
"URL Slug","Slug d'URL"
"Unique identifier for the event type (e.g., casual, league, special)","Identifiant unique du type d'événement (ex., casual, league, special)"
"Uno de los turnos seleccionados ya no está disponible para esta fecha.","L'un des créneaux sélectionnés n'est plus disponible pour cette date."
"Used in the public events URL, e.g. /eventos/madrid-chamberi. Leave empty to auto-generate from the name. Lowercase letters, numbers and hyphens only.","Utilisé dans l'URL publique des événements, ex. /eventos/madrid-chamberi. Laisser vide pour générer automatiquement depuis le nom. Minuscules, chiffres et tirets uniquement."
"Validar","Valider"
"Ver QR","Voir le QR"
"Ver detalles","Voir les détails"
"Ver disponibilidad","Voir la disponibilité"
"Ver todas las tiendas","Voir toutes les boutiques"
"Ver todos los eventos","Voir tous les événements"
"View","Voir"
"Volver a los eventos","Retour aux événements"
"We can't find a location to delete.","Impossible de trouver un lieu à supprimer."
"We can't find a meet to delete.","Impossible de trouver une rencontre à supprimer."
"We can't find a participant to delete.","Impossible de trouver un participant à supprimer."
"We can't find a theme to delete.","Impossible de trouver un thème à supprimer."
"Wednesday","Mercredi"
"Weekdays (Mon–Fri)","Jours ouvrés (lun-ven)"
"Ya tienes una reserva activa. Cancélala antes de hacer otra, o únete al Club Zacatrus para reservar varios turnos.","Tu as déjà une réservation active. Annule-la avant d'en faire une autre, ou rejoins le Club Zacatrus pour réserver plusieurs créneaux."
"Ya tienes una reserva activa. Cancélala o únete al Club Zacatrus para reservar más de un turno.","Tu as déjà une réservation active. Annule-la ou rejoins le Club Zacatrus pour réserver plus d'un créneau."
"asistentes","participants"
"iCal","iCal"
"mesa","table"
"mesa(s)","table(s)"
"mesas","tables"
"mesas libres","tables libres"
"plazas libres","places libres"
"quincenal","bimensuel"
"semanal","hebdomadaire"
"Últimas %1 plazas","Dernières %1 places"
"Tus próximas reservas","Tes prochaines réservations"
"Cancelar reserva","Annuler la réservation"
"¿Cancelar esta reserva?","Annuler cette réservation ?"
"Tus próximas reservas en esta tienda","Tes prochaines réservations dans cette boutique"
